goos: windows
goarch: amd64
pkg: github.com/tensorfoundrylabs/velocity/benchmarks
cpu: AMD Ryzen 9 5950X 16-Core Processor            
BenchmarkLibraries/charmbracelet/Info_NoFields-32    	742884558	         3.219 ns/op	       0 B/op	       0 allocs/op
BenchmarkLibraries/charmbracelet/Info_NoFields-32    	753398296	         3.187 ns/op	       0 B/op	       0 allocs/op
BenchmarkLibraries/charmbracelet/Info_NoFields-32    	756908922	         3.207 ns/op	       0 B/op	       0 allocs/op
BenchmarkLibraries/charmbracelet/Info_ThreeFields-32 	603850299	         3.915 ns/op	       0 B/op	       0 allocs/op
BenchmarkLibraries/charmbracelet/Info_ThreeFields-32 	611957028	         3.924 ns/op	       0 B/op	       0 allocs/op
BenchmarkLibraries/charmbracelet/Info_ThreeFields-32 	606543236	         3.889 ns/op	       0 B/op	       0 allocs/op
BenchmarkLibraries/charmbracelet/With_TwoFields-32   	 1000000	      2148 ns/op	    4424 B/op	       5 allocs/op
BenchmarkLibraries/charmbracelet/With_TwoFields-32   	 1000000	      2345 ns/op	    4424 B/op	       5 allocs/op
BenchmarkLibraries/charmbracelet/With_TwoFields-32   	 1000000	      2246 ns/op	    4424 B/op	       5 allocs/op
BenchmarkLibraries/charmbracelet/Info_TenFields-32   	260717725	         9.277 ns/op	       0 B/op	       0 allocs/op
BenchmarkLibraries/charmbracelet/Info_TenFields-32   	261404762	         9.291 ns/op	       0 B/op	       0 allocs/op
BenchmarkLibraries/charmbracelet/Info_TenFields-32   	253054738	         9.509 ns/op	       0 B/op	       0 allocs/op
BenchmarkLibraries/charmbracelet/Accumulated_10Fields-32         	743197420	         3.232 ns/op	       0 B/op	       0 allocs/op
BenchmarkLibraries/charmbracelet/Accumulated_10Fields-32         	746786019	         3.165 ns/op	       0 B/op	       0 allocs/op
BenchmarkLibraries/charmbracelet/Accumulated_10Fields-32         	757820948	         3.176 ns/op	       0 B/op	       0 allocs/op
BenchmarkLibraries/charmbracelet/MixedFieldTypes-32              	74857303	        33.10 ns/op	      24 B/op	       1 allocs/op
